sound_id,title,tags,num_tags
376477,Opening old door in Spain,"spain,open,squeaky,squeak,creak,wood,wooden,creaky,door,field-recording,handle",11
418422,female laugh over guitar.mp3,"voice,ambient,female,guitar,vocal,laugh",6
239077,Drumloop Jungle or not to jungle - 2 bar - 100 BPM (swing).WAV,"loop,100,drums,drumloop,break,bpm,beat,drum-loop,drum",9
386297,Pneumatic hammer - Atlas Copco r4n - Start 4,"80bpm,motor,hammer,pneumatic,tools,work",6
234883,blender mixer smoothie,"kitchen,blender,shake,fruit,field,recording,mixer",7
236342,M-v (whispered).aif,"mumble,voice,whisper,words,speech,alphabet,female,letters,male,English",10
380164,h7.07.02.17.wav,"loop,percs,loops,drum-loop,idm,beats,percussion-loop,beat,quantized,groovy",10
242647,come to me3.wav,"speak,talk,voice,english,female,woman,exclamation",7
265056,Kick Loop 3,"wav,BPM,ableton,Kick,Drums,Loop,Bass,Drum",8
213724,Metal doors opening keys,"open,doors,Metal,keys,opening,door",6
419197,odd time beat 120bpm reverb-05.wav,"loop,odd,groovy,time,rhythm,120bpm,beat,percussion-loop,quantized,drums,drum-loop,rhythmic",12
232624,20140316_attackloop_120BPM_4_4_Analog_1_Kit_ConstructionKit_Synth_y.flac,"loop,electronic,electro,synth,dance,120BPM,rhythmic",7
241528,dumb laugh2.wav,"speak,talk,voice,girl,english,female,laugh,woman",8
386219,Steel - Drop to forge,"80bpm,one-shot,metal,steel,tools,work",6
378558,Asoada impact low tube.wav,"resonance,low,hollow,metal,tube,hit,impact",7
360802,Chopping Celery.wav,"kitchen,knife,board,chopping,cooking,vegetables,food,slice",8
244054,Thunder002.ogg,"Ambience,Weather,ambience,Rain,Thunderstorm,Thunder,Scary",7
391293,female_vocal.wav,"voice,girl,sing,female,vocal,woman",6
378695,rock vocal.wav,"man,loop,voice,sing,studio,record,sample,vocal,metal",9
417846,2ed120bpm_31.wav,"hip-hop,electronic,electro,underground,dance,loop,bass,120bpm,dark,beat,electric,drum",12
420269,tomtom ride  snare variation120bpm-26.wav,"loop,snare,drums,tomtom,beat,ride,120bpm,rhythm,drum",9
236500,"C-foshizzle-6 (FOE, yes).aif","mumble,voice,whisper,words,speech,alphabet,female,letters,male,English",10
347315,deep slow splash.wav,"wet,splash,step,water,drip,drop,puddle,plop",8
417996,Food_Cooking.WAV,"kitchen,boil,stove,cook,boiling,cooking,pot",7
316911,SOL stretched.wav,"Piano,so,ti,music,keys,keyboard,la,do",8
337170,pentax k1000 - open back.wav,"camera,slr,manual,photography,photo,pentax,picture",7
423473,Synth Loop 28 - (140 BPM),"Loop,Piano,Ambient,Drums,Pad,Drone,Cinematic,commercial,Atmosphere",9
396280,Rapping on a light metal door,"rap,metal,knocking,door,knock",5
477659,Ambient Wave Single - (21_2 Loopable 140 BPM),"Ambient,samples,instrument,dark,One,effect,ambiance,ambient,midi,vst",10
